x,y,s,v
0,0,0,0
0,0.00625,0,-0.000222091
0,0.0125,0,-0.000439456
0,0.01875,0,-0.000423282
0,0.025,0,-7.67809e-05
0,0.03125,0,0.000626606
0,0.0375,0,0.00167847
0,0.04375,0,0.003054
0,0.05,0,0.0047214
0,0.05625,0,0.00664652
0,0.0625,0,0.00879515
0,0.06875,0,0.011134
0,0.075,0,0.0136313
0,0.08125,0,0.0162566
0,0.0875,0,0.0189814
0,0.09375,0,0.0217782
0,0.1,0,0.0246212
0,0.10625,0,0.0274859
0,0.1125,0,0.0303488
0,0.11875,0,0.0331878
0,0.125,0,0.0359816
0,0.13125,0,0.03871
0,0.1375,0,0.0413538
0,0.14375,0,0.0438946
0,0.15,0,0.0463149
0,0.15625,0,0.0485981
0,0.1625,0,0.0507283
0,0.16875,0,0.0526904
0,0.175,0,0.0544696
0,0.18125,0,0.0560509
0,0.1875,0,0.057418
0,0.19375,0,0.0585514
0,0.2,0,0.0594237
0.00833333,0,0,-0.000394828
0.00833333,0.00625,7.71149e-09,6.22729e-05
0.00833333,0.0125,1.52589e-08,0.000471695
0.00833333,0.01875,1.46973e-08,0.000942871
0.00833333,0.025,2.666e-09,0.00155818
0.00833333,0.03125,-2.17572e-08,0.00236537
0.00833333,0.0375,-5.82803e-08,0.00338509
0.00833333,0.04375,-1.06042e-07,0.00461977
0.00833333,0.05,-1.63938e-07,0.00606046
0.00833333,0.05625,-2.30782e-07,0.00769141
0.00833333,0.0625,-3.05387e-07,0.00949306
0.00833333,0.06875,-3.86598e-07,0.0114438
0.00833333,0.075,-4.73308e-07,0.0135213
0.00833333,0.08125,-5.64467e-07,0.0157029
0.00833333,0.0875,-6.59075e-07,0.0179663
0.00833333,0.09375,-7.56186e-07,0.0202894
0.00833333,0.1,-8.54903e-07,0.0226511
0.00833333,0.10625,-9.54371e-07,0.0250307
0.00833333,0.1125,-1.05378e-06,0.0274082
0.00833333,0.11875,-1.15236e-06,0.0297646
0.00833333,0.125,-1.24936e-06,0.0320814
0.00833333,0.13125,-1.3441e-06,0.0343407
0.00833333,0.1375,-1.4359e-06,0.0365258
0.00833333,0.14375,-1.52412e-06,0.0386202
0.00833333,0.15,-1.60815e-06,0.0406084
0.00833333,0.15625,-1.68743e-06,0.0424756
0.00833333,0.1625,-1.7614e-06,0.0442074
0.00833333,0.16875,-1.82953e-06,0.0457902
0.00833333,0.175,-1.89131e-06,0.0472108
0.00833333,0.18125,-1.94621e-06,0.0484564
0.00833333,0.1875,-1.99368e-06,0.0495144
0.00833333,0.19375,-2.03303e-06,0.0503731
0.00833333,0.2,-2.06332e-06,0.0510305
0.0166667,0,0,-0.000583179
0.0166667,0.00625,1.13902e-08,0.000431642
0.0166667,0.0125,1.21771e-08,0.00127378
0.0166667,0.01875,-1.5692e-08,0.00205404
0.0166667,0.025,-8.08452e-08,0.002854
0.0166667,0.03125,-1.86265e-07,0.00372919
0.0166667,0.0375,-3.31657e-07,0.00471359
0.0166667,0.04375,-5.14885e-07,0.00582476
0.0166667,0.05,-7.32831e-07,0.00706837
0.0166667,0.05625,-9.81893e-07,0.00844181
0.0166667,0.0625,-1.25827e-06,0.00993685
0.0166667,0.06875,-1.55813e-06,0.0115416
0.0166667,0.075,-1.87769e-06,0.0132418
0.0166667,0.08125,-2.21328e-06,0.0150218
0.0166667,0.0875,-2.56136e-06,0.016865
0.0166667,0.09375,-2.91851e-06,0.0187547
0.0166667,0.1,-3.28146e-06,0.0206739
0.0166667,0.10625,-3.64709e-06,0.0226059
0.0166667,0.1125,-4.01239e-06,0.0245342
0.0166667,0.11875,-4.37449e-06,0.0264425
0.0166667,0.125,-4.73063e-06,0.0283153
0.0166667,0.13125,-5.0782e-06,0.0301371
0.0166667,0.1375,-5.41466e-06,0.0318934
0.0166667,0.14375,-5.73763e-06,0.0335699
0.0166667,0.15,-6.0448e-06,0.035153
0.0166667,0.15625,-6.334e-06,0.0366295
0.0166667,0.1625,-6.60314e-06,0.0379869
0.0166667,0.16875,-6.85022e-06,0.0392132
0.0166667,0.175,-7.07336e-06,0.0402971
0.0166667,0.18125,-7.27067e-06,0.0412279
0.0166667,0.1875,-7.4403e-06,0.0419959
0.0166667,0.19375,-7.58031e-06,0.0425931
0.0166667,0.2,-7.68859e-06,0.0430274
0.025,0,0,-0.000201941
0.025,0.00625,3.94417e-09,0.00110878
0.025,0.0125,-2.84175e-08,0.00218738
0.025,0.01875,-1.2244e-07,0.00313234
0.025,0.025,-2.90966e-07,0.00401898
0.025,0.03125,-5.38684e-07,0.00490256
0.025,0.0375,-8.651e-07,0.00582146
0.025,0.04375,-1.2665e-06,0.00680031
0.025,0.05,-1.73727e-06,0.00785298
0.025,0.05625,-2.27068e-06,0.00898523
0.025,0.0625,-2.85947e-06,0.0101968
0.025,0.06875,-3.49613e-06,0.0114829
0.025,0.075,-4.17314e-06,0.0128359
0.025,0.08125,-4.88308e-06,0.0142459
0.025,0.0875,-5.61869e-06,0.0157013
0.025,0.09375,-6.37292e-06,0.01719
0.025,0.1,-7.13896e-06,0.0186989
0.025,0.10625,-7.91025e-06,0.0202148
0.025,0.1125,-8.68045e-06,0.0217244
0.025,0.11875,-9.44349e-06,0.0232144
0.025,0.125,-1.01935e-05,0.0246717
0.025,0.13125,-1.09249e-05,0.0260835
0.025,0.1375,-1.16323e-05,0.0274371
0.025,0.14375,-1.23105e-05,0.0287205
0.025,0.15,-1.29546e-05,0.0299217
0.025,0.15625,-1.35599e-05,0.0310295
0.025,0.1625,-1.4122e-05,0.032033
0.025,0.16875,-1.46367e-05,0.0329218
0.025,0.175,-1.50997e-05,0.0336863
0.025,0.18125,-1.55074e-05,0.0343173
0.025,0.1875,-1.5856e-05,0.0348069
0.025,0.19375,-1.61418e-05,0.0351484
0.025,0.2,-1.63616e-05,0.0353556
0.0333333,0,0,0.000816996
0.0333333,0.00625,-1.59569e-08,0.00220022
0.0333333,0.0125,-1.11294e-07,0.00334095
0.0333333,0.01875,-3.14262e-07,0.00431739
0.0333333,0.025,-6.39393e-07,0.00519303
0.0333333,0.03125,-1.09165e-06,0.0060175
0.0333333,0.0375,-1.6695e-06,0.00682796
0.0333333,0.04375,-2.36706e-06,0.00765083
0.0333333,0.05,-3.17568e-06,0.00850365
0.0333333,0.05625,-4.085e-06,0.00939673
0.0333333,0.0625,-5.08367e-06,0.0103348
0.0333333,0.06875,-6.15983e-06,0.0113181
0.0333333,0.075,-7.30145e-06,0.0123436
0.0333333,0.08125,-8.49654e-06,0.013406
0.0333333,0.0875,-9.73328e-06,0.0144978
0.0333333,0.09375,-1.10001e-05,0.0156106
0.0333333,0.1,-1.22857e-05,0.0167348
0.0333333,0.10625,-1.35791e-05,0.0178603
0.0333333,0.1125,-1.48699e-05,0.0189767
0.0333333,0.11875,-1.61477e-05,0.0200733
0.0333333,0.125,-1.74028e-05,0.0211393
0.0333333,0.13125,-1.86256e-05,0.0221642
0.0333333,0.1375,-1.9807e-05,0.0231375
0.0333333,0.14375,-2.09384e-05,0.0240487
0.0333333,0.15,-2.20112e-05,0.024888
0.0333333,0.15625,-2.30176e-05,0.0256457
0.0333333,0.1625,-2.39499e-05,0.0263123
0.0333333,0.16875,-2.4801e-05,0.0268791
0.0333333,0.175,-2.55639e-05,0.0273378
0.0333333,0.18125,-2.62323e-05,0.0276806
0.0333333,0.1875,-2.68002e-05,0.0279006
0.0333333,0.19375,-2.72618e-05,0.0279916
0.0333333,0.2,-2.76122e-05,0.027973
0.0416667,0,0,0.00243358
0.0416667,0.00625,-4.75308e-08,0.00372557
0.0416667,0.0125,-2.34837e-07,0.00479002
0.0416667,0.01875,-5.88724e-07,0.00568549
0.0416667,0.025,-1.12244e-06,0.00646235
0.0416667,0.03125,-1.83925e-06,0.00716212
0.0416667,0.0375,-2.73524e-06,0.00781776
0.0416667,0.04375,-3.80147e-06,0.0084543
0.0416667,0.05,-5.0256e-06,0.00908988
0.0416667,0.05625,-6.39303e-06,0.00973671
0.0416667,0.0625,-7.88779e-06,0.0104022
0.0416667,0.06875,-9.49312e-06,0.0110896
0.0416667,0.075,-1.11919e-05,0.0117992
0.0416667,0.08125,-1.2967e-05,0.0125289
0.0416667,0.0875,-1.48012e-05,0.0132744
0.0416667,0.09375,-1.66779e-05,0.0140301
0.0416667,0.1,-1.85805e-05,0.0147895
0.0416667,0.10625,-2.04931e-05,0.015545
0.0416667,0.1125,-2.24002e-05,0.0162887
0.0416667,0.11875,-2.42865e-05,0.0170121
0.0416667,0.125,-2.61375e-05,0.0177069
0.0416667,0.13125,-2.79391e-05,0.0183642
0.0416667,0.1375,-2.96777e-05,0.0189755
