x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.00625,0,0.00532943,0,0
0,0.0125,0,0.00311632,0,0
0,0.01875,0,-0.0111486,0,0
0,0.025,0,-0.0370224,0,0
0,0.03125,0,-0.0726967,0,0
0,0.0375,0,-0.11632,0,0
0,0.04375,0,-0.166417,0,0
0,0.05,0,-0.22196,0,0
0,0.05625,0,-0.282313,0,0
0,0.0625,0,-0.347137,0,0
0,0.06875,0,-0.416284,0,0
0,0.075,0,-0.48971,0,0
0,0.08125,0,-0.567384,0,0
0,0.0875,0,-0.649229,0,0
0,0.09375,0,-0.735062,0,0
0,0.1,0,-0.824555,0,0
0,0.10625,0,-0.917193,0,0
0,0.1125,0,-1.01225,0,0
0,0.11875,0,-1.10878,0,0
0,0.125,0,-1.20556,0,0
0,0.13125,0,-1.30112,0,0
0,0.1375,0,-1.39373,0,0
0,0.14375,0,-1.48136,0,0
0,0.15,0,-1.56174,0,0
0,0.15625,0,-1.63235,0,0
0,0.1625,0,-1.69044,0,0
0,0.16875,0,-1.73307,0,0
0,0.175,0,-1.75719,0,0
0,0.18125,0,-1.75962,0,0
0,0.1875,0,-1.73719,0,0
0,0.19375,0,-1.68678,0,0
0,0.2,0,-1.60538,0,0
0,0.20625,0,-1.49021,0,0
0,0.2125,0,-1.33876,0,0
0,0.21875,0,-1.1489,0,0
0,0.225,0,-0.918952,0,0
0,0.23125,0,-0.647723,0,0
0,0.2375,0,-0.334597,0,0
0,0.24375,0,0.0204441,0,0
0,0.25,0,0.41679,0,0
0.00625,0,0,0.00532943,0,0
0.00625,0.00625,-1.0409e-07,-0.00764809,-4.86924e-06,4.5394e-06
0.00625,0.0125,-6.08656e-08,-0.0205142,2.57469e-05,-3.55376e-05
0.00625,0.01875,2.17746e-07,-0.0380226,6.27168e-05,-0.000135521
0.00625,0.025,7.23094e-07,-0.0619888,9.61689e-05,-0.000294097
0.00625,0.03125,1.41986e-06,-0.0925878,0.000123903,-0.000504093
0.00625,0.0375,2.27188e-06,-0.12929,0.000146438,-0.000757418
0.00625,0.04375,3.25033e-06,-0.171368,0.000165062,-0.00104707
0.00625,0.05,4.33516e-06,-0.218122,0.000181087,-0.00136774
0.00625,0.05625,5.51393e-06,-0.268968,0.000195588,-0.00171577
0.00625,0.0625,6.78001e-06,-0.323436,0.00020933,-0.00208878
0.00625,0.06875,8.13055e-06,-0.381149,0.00022277,-0.0024853
0.00625,0.075,9.56464e-06,-0.441771,0.000236093,-0.00290424
0.00625,0.08125,1.10817e-05,-0.504964,0.000249249,-0.00334457
0.00625,0.0875,1.26802e-05,-0.570346,0.000261998,-0.00380494
0.00625,0.09375,1.43567e-05,-0.637451,0.000273947,-0.00428339
0.00625,0.1,1.61046e-05,-0.705696,0.000284579,-0.00477712
0.00625,0.10625,1.79139e-05,-0.774365,0.000293279,-0.00528234
0.00625,0.1125,1.97706e-05,-0.842585,0.000299352,-0.00579408
0.00625,0.11875,2.16558e-05,-0.909321,0.000302039,-0.00630616
0.00625,0.125,2.35461e-05,-0.97337,0.000300537,-0.00681105
0.00625,0.13125,2.54125e-05,-1.03337,0.000294011,-0.00729991
0.00625,0.1375,2.72212e-05,-1.0878,0.000281617,-0.00776254
0.00625,0.14375,2.89328e-05,-1.13501,0.00026252,-0.00818748
0.00625,0.15,3.05027e-05,-1.17324,0.000235922,-0.00856207
0.00625,0.15625,3.18818e-05,-1.20063,0.00020109,-0.00887261
0.00625,0.1625,3.30163e-05,-1.21529,0.000157386,-0.00910453
0.00625,0.16875,3.38491e-05,-1.2153,0.0001043,-0.00924262
0.00625,0.175,3.43201e-05,-1.19879,4.14796e-05,-0.00927132
0.00625,0.18125,3.43676e-05,-1.16395,-3.12405e-05,-0.00917501
0.00625,0.1875,3.39296e-05,-1.10908,-0.000113813,-0.00893835
0.00625,0.19375,3.29449e-05,-1.03266,-0.000205957,-0.00854666
0.00625,0.2,3.13551e-05,-0.933337,-0.000307146,-0.00798627
0.00625,0.20625,2.91056e-05,-0.810018,-0.000416599,-0.00724488
0.00625,0.2125,2.61476e-05,-0.661855,-0.000533289,-0.00631193
0.00625,0.21875,2.24395e-05,-0.488287,-0.000655947,-0.00517887
0.00625,0.225,1.79483e-05,-0.28905,-0.000783092,-0.0038395
0.00625,0.23125,1.26508e-05,-0.0641827,-0.000913053,-0.00229017
0.00625,0.2375,6.53511e-06,0.18597,-0.00104401,-0.000529955
0.00625,0.24375,-3.993e-07,0.460765,-0.00117404,0.00143924
0.00625,0.25,-8.14044e-06,0.759276,-0.00130117,0.00361262
0.0125,0,0,0.00290522,0,0
0.0125,0.00625,-5.67425e-08,-0.0207369,3.55376e-05,-2.77621e-05
0.0125,0.0125,4.44219e-07,-0.0395027,0.000140061,-0.000144353
0.0125,0.01875,1.69402e-06,-0.0584124,0.000258559,-0.00036015
0.0125,0.025,3.67621e-06,-0.0802034,0.000368572,-0.000671713
0.0125,0.03125,6.30117e-06,-0.106077,0.000463321,-0.00106917
0.0125,0.0375,9.46772e-06,-0.136319,0.000542976,-0.001541
0.0125,0.04375,1.30884e-05,-0.170719,0.000610323,-0.00207656
0.0125,0.05,1.70968e-05,-0.208835,0.000668698,-0.00266711
0.0125,0.05625,2.14471e-05,-0.250129,0.000721043,-0.00330597
0.0125,0.0625,2.61098e-05,-0.294038,0.000769529,-0.00398814
0.0125,0.06875,3.10662e-05,-0.339994,0.000815454,-0.00470976
0.0125,0.075,3.6303e-05,-0.387423,0.000859275,-0.00546744
0.0125,0.08125,4.18071e-05,-0.435728,0.000900702,-0.00625768
0.0125,0.0875,4.75617e-05,-0.484269,0.000938815,-0.0070763
0.0125,0.09375,5.35423e-05,-0.532344,0.000972179,-0.00791799
0.0125,0.1,5.9714e-05,-0.579176,0.00099895,-0.00877594
0.0125,0.10625,6.60292e-05,-0.623895,0.00101696,-0.00964158
0.0125,0.1125,7.2426e-05,-0.665545,0.00102383,-0.0105044
0.0125,0.11875,7.8827e-05,-0.703078,0.00101697,-0.0113517
0.0125,0.125,8.51382e-05,-0.735372,0.000993747,-0.0121688
0.0125,0.13125,9.12489e-05,-0.761244,0.000951484,-0.0129389
0.0125,0.1375,9.70317e-05,-0.779475,0.00088757,-0.0136432
0.0125,0.14375,0.000102343,-0.788838,0.000799533,-0.0142612
0.0125,0.15,0.000107026,-0.788128,0.000685135,-0.0147707
0.0125,0.15625,0.000110908,-0.776194,0.000542461,-0.0151484
0.0125,0.1625,0.000113807,-0.751973,0.000370011,-0.0153702
0.0125,0.16875,0.000115533,-0.714522,0.000166789,-0.0154117
0.0125,0.175,0.000115892,-0.663042,-6.76182e-05,-0.0152484
0.0125,0.18125,0.000114688,-0.596902,-0.000332974,-0.0148569
0.0125,0.1875,0.000111729,-0.515658,-0.000628347,-0.0142144
0.0125,0.19375,0.000106833,-0.419062,-0.000952077,-0.0133004
0.0125,0.2,9.98284e-05,-0.307061,-0.00130178,-0.0120963
0.0125,0.20625,9.0561e-05,-0.1798,-0.00167434,-0.0105863
0.0125,0.2125,7.88991e-05,-0.0376043,-0.00206602,-0.00875785
0.0125,0.21875,6.47358e-05,0.119034,-0.00247243,-0.00660174
0.0125,0.225,4.79938e-05,0.289475,-0.0028887,-0.00411263
0.0125,0.23125,2.86271e-05,0.472961,-0.00330954,-0.00128909
0.0125,0.2375,6.62444e-06,0.668637,-0.00372941,0.00186622
0.0125,0.24375,-1.79905e-05,0.87558,-0.00414258,0.00534659
0.0125,0.25,-4.51578e-05,1.09282,-0.00454331,0.0091413
0.01875,0,0,-0.0124383,0,0
0.01875,0.00625,2.42935e-07,-0.0387012,0.000139484,-6.82758e-05
0.01875,0.0125,1.74355e-06,-0.058346,0.000358135,-0.000272186
0.01875,0.01875,4.71962e-06,-0.0758722,0.000590077,-0.000607292
0.01875,0.025,9.11951e-06,-0.0941333,0.000805193,-0.00106388
0.01875,0.03125,1.47845e-05,-0.114702,0.000993195,-0.00162899
0.01875,0.0375,2.15344e-05,-0.138241,0.00115383,-0.00228884
0.01875,0.04375,2.92074e-05,-0.164809,0.00129117,-0.00303056
0.01875,0.05,3.76741e-05,-0.194091,0.00141049,-0.00384308
0.01875,0.05625,4.68385e-05,-0.225546,0.00151662,-0.00471716
0.01875,0.0625,5.66318e-05,-0.258509,0.00161312,-0.00564515
0.01875,0.06875,6.70025e-05,-0.292244,0.00170207,-0.00662032
0.01875,0.075,7.79077e-05,-0.325972,0.00178402,-0.00763621
0.01875,0.08125,8.93027e-05,-0.35888,0.00185811,-0.0086859
0.01875,0.0875,0.000101134,-0.390128,0.00192231,-0.00976142
0.01875,0.09375,0.000113332,-0.418844,0.00197359,-0.0108532
0.01875,0.1,0.000125804,-0.44412,0.00200817,-0.0119497
0.01875,0.10625,0.000138434,-0.465023,0.00202171,-0.013037
0.01875,0.1125,0.000151075,-0.480597,0.00200946,-0.0140989
0.01875,0.11875,0.000163552,-0.489883,0.00196648,-0.0151167
0.01875,0.125,0.000175656,-0.491933,0.00188776,-0.0160691
0.01875,0.13125,0.000187149,-0.485844,0.00176843,-0.0169327
0.01875,0.1375,0.000197762,-0.470778,0.00160388,-0.0176821
0.01875,0.14375,0.000207198,-0.445996,0.00138995,-0.0182902
0.01875,0.15,0.000215136,-0.410888,0.00112311,-0.0187287
0.01875,0.15625,0.000221236,-0.36499,0.000800626,-0.0189686
0.01875,0.1625,0.000225144,-0.308013,0.000420684,-0.018981
0.01875,0.16875,0.000226495,-0.239851,-1.74496e-05,-0.0187371
0.01875,0.175,0.000224926,-0.160588,-0.000513331,-0.0182095
