Np,Wall-time
2,792.899
x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.010101,0,-0.00177359,0,0
0,0.020202,0,-0.00564536,0,0
0,0.030303,0,-0.00967192,0,0
0,0.040404,0,-0.0125502,0,0
0,0.0505051,0,-0.0135246,0,0
0,0.0606061,0,-0.0121838,0,0
0,0.0707071,0,-0.00831831,0,0
0,0.0808081,0,-0.00183389,0,0
0,0.0909091,0,0.00729769,0,0
0,0.10101,0,0.0190651,0,0
0,0.111111,0,0.0334343,0,0
0,0.121212,0,0.050359,0,0
0,0.131313,0,0.0697861,0,0
0,0.141414,0,0.0916583,0,0
0,0.151515,0,0.115917,0,0
0,0.161616,0,0.142502,0,0
0,0.171717,0,0.171354,0,0
0,0.181818,0,0.202413,0,0
0,0.191919,0,0.235618,0,0
0,0.20202,0,0.270909,0,0
0,0.212121,0,0.308222,0,0
0,0.222222,0,0.347496,0,0
0,0.232323,0,0.388665,0,0
0,0.242424,0,0.431661,0,0
0,0.252525,0,0.476415,0,0
0,0.262626,0,0.522856,0,0
0,0.272727,0,0.570906,0,0
0,0.282828,0,0.620488,0,0
0,0.292929,0,0.67152,0,0
0,0.30303,0,0.723915,0,0
0,0.313131,0,0.777584,0,0
0,0.323232,0,0.832435,0,0
0,0.333333,0,0.888369,0,0
0,0.343434,0,0.945287,0,0
0,0.353535,0,1.00309,0,0
0,0.363636,0,1.06166,0,0
0,0.373737,0,1.12089,0,0
0,0.383838,0,1.18068,0,0
0,0.393939,0,1.24091,0,0
0,0.40404,0,1.30146,0,0
0,0.414141,0,1.36222,0,0
0,0.424242,0,1.42308,0,0
0,0.434343,0,1.48391,0,0
0,0.444444,0,1.54461,0,0
0,0.454545,0,1.60507,0,0
0,0.464646,0,1.66518,0,0
0,0.474747,0,1.72485,0,0
0,0.484848,0,1.78397,0,0
0,0.494949,0,1.84247,0,0
0,0.505051,0,1.90026,0,0
0,0.515152,0,1.95727,0,0
0,0.525253,0,2.01347,0,0
0,0.535354,0,2.0688,0,0
0,0.545455,0,2.12324,0,0
0,0.555556,0,2.17678,0,0
0,0.565657,0,2.22945,0,0
0,0.575758,0,2.28128,0,0
0,0.585859,0,2.33233,0,0
0,0.59596,0,2.38271,0,0
0,0.606061,0,2.43253,0,0
0,0.616162,0,2.48195,0,0
0,0.626263,0,2.5312,0,0
0,0.636364,0,2.58052,0,0
0,0.646465,0,2.63021,0,0
0,0.656566,0,2.68065,0,0
0,0.666667,0,2.73228,0,0
0,0.676768,0,2.78561,0,0
0,0.686869,0,2.84127,0,0
0,0.69697,0,2.89999,0,0
0,0.707071,0,2.96261,0,0
0,0.717172,0,3.03015,0,0
0,0.727273,0,3.10378,0,0
0,0.737374,0,3.18493,0,0
0,0.747475,0,3.27522,0,0
0,0.757576,0,3.37663,0,0
0,0.767677,0,3.49148,0,0
0,0.777778,0,3.62255,0,0
0,0.787879,0,3.77315,0,0
0,0.79798,0,3.94728,0,0
0,0.808081,0,4.14977,0,0
0,0.818182,0,4.38649,0,0
0,0.828283,0,4.66465,0,0
0,0.838384,0,4.99319,0,0
0,0.848485,0,5.38326,0,0
0,0.858586,0,5.84906,0,0
0,0.868687,0,6.40886,0,0
0,0.878788,0,7.08671,0,0
0,0.888889,0,7.91496,0,0
0,0.89899,0,8.93837,0,0
0,0.909091,0,10.2209,0,0
0,0.919192,0,11.8573,0,0
0,0.929293,0,13.9934,0,0
0,0.939394,0,16.8611,0,0
0,0.949495,0,20.8349,0,0
0,0.959596,0,26.4924,0,0
0,0.969697,0,34.524,0,0
0,0.979798,0,44.6144,0,0
0,0.989899,0,48.9966,0,0
0,1,0,0,1,0
0.010101,0,0,-0.00177359,0,0
0.010101,0.010101,9.04798e-08,-0.00209285,1.4256e-05,-1.42289e-05
0.010101,0.020202,2.87999e-07,-0.00241402,1.99453e-05,-4.0313e-05
0.010101,0.030303,4.93415e-07,-0.00258354,1.74364e-05,-6.47958e-05
0.010101,0.040404,6.40251e-07,-0.00200416,9.72893e-06,-7.83145e-05
0.010101,0.0505051,6.89959e-07,-0.000137891,-9.25323e-07,-7.48487e-05
0.010101,0.0606061,6.21557e-07,0.00340287,-1.31471e-05,-5.07233e-05
0.010101,0.0707071,4.2436e-07,0.00887314,-2.61361e-05,-3.81139e-06
0.010101,0.0808081,9.35563e-08,0.0164287,-3.94344e-05,6.70262e-05
0.010101,0.0909091,-3.72293e-07,0.0261562,-5.27753e-05,0.000162303
0.010101,0.10101,-9.72611e-07,0.0380972,-6.60015e-05,0.000282129
0.010101,0.111111,-1.70566e-06,0.0522629,-7.90249e-05,0.000426361
0.010101,0.121212,-2.56907e-06,0.068643,-9.17974e-05,0.000594701
0.010101,0.131313,-3.56015e-06,0.0872134,-0.000104291,0.000786752
0.010101,0.141414,-4.67597e-06,0.107941,-0.000116492,0.00100205
0.010101,0.151515,-5.91352e-06,0.130788,-0.000128393,0.00124011
0.010101,0.161616,-7.26976e-06,0.15571,-0.000139993,0.0015004
0.010101,0.171717,-8.74166e-06,0.182661,-0.00015129,0.00178238
0.010101,0.181818,-1.03261e-05,0.211591,-0.000162283,0.00208551
0.010101,0.191919,-1.20201e-05,0.242451,-0.000172969,0.00240922
0.010101,0.20202,-1.38205e-05,0.275187,-0.000183344,0.00275295
0.010101,0.212121,-1.5724e-05,0.309746,-0.000193403,0.0031161
0.010101,0.222222,-1.77276e-05,0.34607,-0.000203137,0.00349807
0.010101,0.232323,-1.98278e-05,0.384102,-0.000212538,0.00389824
0.010101,0.242424,-2.20213e-05,0.423781,-0.000221593,0.00431597
0.010101,0.252525,-2.43044e-05,0.465044,-0.00023029,0.00475059
0.010101,0.262626,-2.66736e-05,0.507825,-0.000238613,0.00520139
0.010101,0.272727,-2.91249e-05,0.552057,-0.000246547,0.00566766
0.010101,0.282828,-3.16543e-05,0.597668,-0.000254075,0.00614865
0.010101,0.292929,-3.42577e-05,0.644585,-0.000261179,0.00664355
0.010101,0.30303,-3.69307e-05,0.69273,-0.00026784,0.00715156
0.010101,0.313131,-3.96686e-05,0.742023,-0.000274039,0.0076718
