Np,Wall-time
12,4.75929
x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.0135135,0,-0.00190695,0,0
0,0.027027,0,-0.00255245,0,0
0,0.0405405,0,-0.00012038,0,0
0,0.0540541,0,0.00572381,0,0
0,0.0675676,0,0.0147347,0,0
0,0.0810811,0,0.026448,0,0
0,0.0945946,0,0.0403945,0,0
0,0.108108,0,0.0561734,0,0
0,0.121622,0,0.0734474,0,0
0,0.135135,0,0.091954,0,0
0,0.148649,0,0.111443,0,0
0,0.162162,0,0.131716,0,0
0,0.175676,0,0.152645,0,0
0,0.189189,0,0.174152,0,0
0,0.202703,0,0.196209,0,0
0,0.216216,0,0.218832,0,0
0,0.22973,0,0.242038,0,0
0,0.243243,0,0.265861,0,0
0,0.256757,0,0.29036,0,0
0,0.27027,0,0.315587,0,0
0,0.283784,0,0.341618,0,0
0,0.297297,0,0.368531,0,0
0,0.310811,0,0.396404,0,0
0,0.324324,0,0.425316,0,0
0.0135135,0,0,-0.00190695,0,0
0.0135135,0.0135135,1.74119e-07,0.00127262,8.62315e-06,-8.55152e-06
0.0135135,0.027027,2.33058e-07,0.00443056,-6.03572e-06,2.3073e-06
0.0135135,0.0405405,1.09916e-08,0.00879814,-2.79604e-05,4.7093e-05
0.0135135,0.0540541,-5.22627e-07,0.0149876,-5.0186e-05,0.000129282
0.0135135,0.0675676,-1.34539e-06,0.0231694,-7.00141e-05,0.000246953
0.0135135,0.0810811,-2.4149e-06,0.0332761,-8.66885e-05,0.000395992
0.0135135,0.0945946,-3.68832e-06,0.0451217,-0.000100424,0.000571661
0.0135135,0.108108,-5.12905e-06,0.058479,-0.000111665,0.000769586
0.0135135,0.121622,-6.7063e-06,0.0731067,-0.00012088,0.000986095
0.0135135,0.135135,-8.39609e-06,0.0887932,-0.000128365,0.00121797
0.0135135,0.148649,-1.01756e-05,0.105397,-0.00013433,0.00146245
0.0135135,0.162162,-1.20266e-05,0.12278,-0.000139195,0.00171735
0.0135135,0.175676,-1.39377e-05,0.140847,-0.000143365,0.00198106
