x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.0135135,0,-0.0032189,0,0
0,0.027027,0,-0.00845511,0,0
0,0.0405405,0,-0.0123018,0,0
0,0.0540541,0,-0.0129008,0,0
0,0.0675676,0,-0.00936109,0,0
0,0.0810811,0,-0.00130768,0,0
0,0.0945946,0,0.0113651,0,0
0,0.108108,0,0.0286423,0,0
0,0.121622,0,0.0504392,0,0
0,0.135135,0,0.0766326,0,0
0,0.148649,0,0.107092,0,0
0,0.162162,0,0.141681,0,0
0,0.175676,0,0.180258,0,0
0,0.189189,0,0.222683,0,0
0,0.202703,0,0.268818,0,0
0,0.216216,0,0.318517,0,0
0,0.22973,0,0.371624,0,0
0,0.243243,0,0.427997,0,0
0,0.256757,0,0.487474,0,0
0,0.27027,0,0.549884,0,0
0,0.283784,0,0.615051,0,0
0,0.297297,0,0.682792,0,0
0,0.310811,0,0.752888,0,0
0,0.324324,0,0.825141,0,0
0.0135135,0,0,-0.0032189,0,0
0.0135135,0.0135135,2.9391e-07,-0.00200139,2.85646e-05,-2.84623e-05
0.0135135,0.027027,7.72015e-07,-0.0007715,3.06853e-05,-6.70257e-05
0.0135135,0.0405405,1.12324e-06,0.00130162,1.50191e-05,-8.52864e-05
0.0135135,0.0540541,1.17794e-06,0.00532895,-9.9347e-06,-6.51353e-05
0.0135135,0.0675676,8.54738e-07,0.0121246,-3.91659e-05,3.42723e-06
0.0135135,0.0810811,1.19401e-07,0.0221844,-7.0021e-05,0.000125447
0.0135135,0.0945946,-1.03772e-06,0.0357846,-0.000101182,0.000303036
0.0135135,0.108108,-2.61526e-06,0.0530407,-0.000132007,0.000536662
0.0135135,0.121622,-4.60548e-06,0.0739912,-0.000162129,0.00082586
0.0135135,0.135135,-6.99714e-06,0.0985982,-0.000191395,0.00116961
0.0135135,0.148649,-9.77832e-06,0.126827,-0.000219759,0.00156659
0.0135135,0.162162,-1.29366e-05,0.158572,-0.000247182,0.00201528
0.0135135,0.175676,-1.64589e-05,0.193751,-0.000273656,0.0025141
0.0135135,0.189189,-2.03327e-05,0.232257,-0.000299188,0.00306138
0.0135135,0.202703,-2.45451e-05,0.273967,-0.000323762,0.00365545
0.0135135,0.216216,-2.9083e-05,0.318774,-0.000347319,0.00429449
0.0135135,0.22973,-3.39321e-05,0.366552,-0.000369867,0.00497666
0.0135135,0.243243,-3.90794e-05,0.417159,-0.000391383,0.00570003
0.0135135,0.256757,-4.451e-05,0.470456,-0.00041178,0.0064626
0.0135135,0.27027,-5.02086e-05,0.526306,-0.000431004,0.00726226
0.0135135,0.283784,-5.61588e-05,0.584547,-0.000449012,0.00809672
0.0135135,0.297297,-6.2344e-05,0.645005,-0.000465667,0.00896362
0.0135135,0.310811,-6.87444e-05,0.707523,-0.00048091,0.00986039
0.0135135,0.324324,-7.53416e-05,0.771897,-0.000494687,0.0107843
0.027027,0,0,-0.00842484,0,0
0.027027,0.0135135,7.69251e-07,-0.000774887,6.70257e-05,-3.02879e-05
0.027027,0.027027,1.81151e-06,0.00605022,5.68241e-05,-5.63416e-05
0.027027,0.0405405,2.30504e-06,0.0129401,-1.89044e-06,-3.84293e-05
0.027027,0.0540541,1.76041e-06,0.020794,-8.87137e-05,4.89805e-05
0.027027,0.0675676,-9.26279e-08,0.0303514,-0.000190583,0.000221738
0.027027,0.0810811,-3.39047e-06,0.0421464,-0.000299609,0.000488933
0.027027,0.0945946,-8.19016e-06,0.0565429,-0.000411215,0.000855303
0.027027,0.108108,-1.45044e-05,0.07376,-0.000522824,0.0013226
0.027027,0.121622,-2.23205e-05,0.0938955,-0.00063295,0.00189082
0.027027,0.135135,-3.16111e-05,0.117015,-0.000740735,0.00255887
0.027027,0.148649,-4.23404e-05,0.143098,-0.000845665,0.00332475
0.027027,0.162162,-5.4467e-05,0.172131,-0.000947505,0.00418619
0.027027,0.175676,-6.79486e-05,0.204054,-0.0010461,0.00514052
0.027027,0.189189,-8.27399e-05,0.238798,-0.00114135,0.00618488
0.027027,0.202703,-9.87959e-05,0.276261,-0.00123312,0.00731623
