x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.0204082,0,-0.00535036,0,0
0,0.0408163,0,-0.00967469,0,0
0,0.0612245,0,-0.00757917,0,0
0,0.0816327,0,0.00286609,0,0
0,0.102041,0,0.0220919,0,0
0,0.122449,0,0.0499407,0,0
0,0.142857,0,0.0860201,0,0
0,0.163265,0,0.129923,0,0
0,0.183673,0,0.18122,0,0
0,0.204082,0,0.239541,0,0
0,0.22449,0,0.304507,0,0
0,0.244898,0,0.375775,0,0
0,0.265306,0,0.453015,0,0
0,0.285714,0,0.535825,0,0
0,0.306122,0,0.623847,0,0
0,0.326531,0,0.716639,0,0
0,0.346939,0,0.813722,0,0
0,0.367347,0,0.914591,0,0
0,0.387755,0,1.01863,0,0
0,0.408163,0,1.12528,0,0
0,0.428571,0,1.23388,0,0
0,0.44898,0,1.34383,0,0
0,0.469388,0,1.45455,0,0
0,0.489796,0,1.56543,0,0
0,0.510204,0,1.67594,0,0
0,0.530612,0,1.78559,0,0
0,0.55102,0,1.89416,0,0
0,0.571429,0,2.0017,0,0
0,0.591837,0,2.1085,0,0
0,0.612245,0,2.2153,0,0
0,0.632653,0,2.32336,0,0
0,0.653061,0,2.43463,0,0
0,0.673469,0,2.55196,0,0
0,0.693878,0,2.67942,0,0
0,0.714286,0,2.82274,0,0
0,0.734694,0,2.98984,0,0
0,0.755102,0,3.19181,0,0
0,0.77551,0,3.44421,0,0
0,0.795918,0,3.76916,0,0
0,0.816327,0,4.19862,0,0
0,0.836735,0,4.77989,0,0
0,0.857143,0,5.58485,0,0
0,0.877551,0,6.72593,0,0
0,0.897959,0,8.38214,0,0
0,0.918367,0,10.831,0,0
0,0.938776,0,14.4257,0,0
0,0.959184,0,19.1487,0,0
0,0.979592,0,21.7689,0,0
0,1,0,0,1,0
0.0204082,0,0,-0.00535036,0,0
0.0204082,0.0204082,1.11419e-06,0.00107141,4.93606e-05,-4.89157e-05
0.0204082,0.0408163,2.01472e-06,0.0075502,1.13715e-05,-5.44509e-05
0.0204082,0.0612245,1.57834e-06,0.0168704,-6.39835e-05,5.22552e-05
0.0204082,0.0816327,-5.96853e-07,0.0310189,-0.000151383,0.000300951
0.0204082,0.102041,-4.60057e-06,0.0509663,-0.000240176,0.000701492
0.0204082,0.122449,-1.04e-05,0.0770833,-0.000326164,0.00125418
0.0204082,0.142857,-1.79134e-05,0.109471,-0.000408071,0.00195493
0.0204082,0.163265,-2.70559e-05,0.147969,-0.000485712,0.00279783
0.0204082,0.183673,-3.77384e-05,0.192395,-0.000559276,0.0037766
0.0204082,0.204082,-4.98835e-05,0.242494,-0.000629019,0.00488483
0.0204082,0.22449,-6.34126e-05,0.298037,-0.000695074,0.00611622
0.0204082,0.244898,-7.82539e-05,0.358733,-0.000757693,0.00746457
0.0204082,0.265306,-9.43389e-05,0.424263,-0.000816581,0.00892337
0.0204082,0.285714,-0.000111584,0.494405,-0.000871592,0.0104859
0.0204082,0.306122,-0.000129914,0.568731,-0.000922522,0.0121449
0.0204082,0.326531,-0.000149238,0.646973,-0.00096875,0.0138924
0.0204082,0.346939,-0.000169455,0.728707,-0.00100996,0.0157198
0.0204082,0.367347,-0.00019046,0.813505,-0.00104547,0.0176174
0.0204082,0.387755,-0.000212127,0.901001,-0.00107494,0.0195748
0.0204082,0.408163,-0.000234335,0.990639,-0.00109821,0.021581
0.0204082,0.428571,-0.000256952,1.08203,-0.00111506,0.0236249
0.0204082,0.44898,-0.000279848,1.17469,-0.00112585,0.0256952
0.0204082,0.469388,-0.000302905,1.2681,-0.00113063,0.0277812
0.0204082,0.489796,-0.000325996,1.36185,-0.00112954,0.0298722
0.0204082,0.510204,-0.000349008,1.45556,-0.00112324,0.0319584
0.0204082,0.530612,-0.000371843,1.54899,-0.0011134,0.0340318
0.0204082,0.55102,-0.000394453,1.64196,-0.00110259,0.0360882
0.0204082,0.571429,-0.000416847,1.73448,-0.00109353,0.0381279
0.0204082,0.591837,-0.000439087,1.82684,-0.0010898,0.0401565
0.0204082,0.612245,-0.000461328,1.91963,-0.00109627,0.0421866
0.0204082,0.632653,-0.000483832,2.01375,-0.00111905,0.0442399
0.0204082,0.653061,-0.000507004,2.1107,-0.00116631,0.04635
0.0204082,0.673469,-0.000531437,2.21255,-0.00124893,0.0485657
0.0204082,0.693878,-0.00055798,2.32217,-0.00138153,0.0509558
0.0204082,0.714286,-0.000587826,2.44345,-0.00158375,0.0536152
0.0204082,0.734694,-0.000622623,2.58161,-0.001883,0.0566736
0.0204082,0.755102,-0.000664683,2.7435,-0.00231825,0.0603071
0.0204082,0.77551,-0.000717246,2.93804,-0.00294569,0.0647549
0.0204082,0.795918,-0.000784915,3.17663,-0.00384903,0.0703422
0.0204082,0.816327,-0.000874349,3.4735,-0.00515679,0.0775124
0.0204082,0.836735,-0.000995397,3.84523,-0.00707258,0.0868703
0.0204082,0.857143,-0.00116303,4.30824,-0.00992873,0.0992349
0.0204082,0.877551,-0.00140065,4.86883,-0.0142719,0.115686
0.0204082,0.897959,-0.00174555,5.49113,-0.0209441,0.13752
0.0204082,0.918367,-0.00225551,5.99282,-0.0308343,0.165825
0.0204082,0.938776,-0.00300409,5.70042,-0.0424375,0.199611
0.0204082,0.959184,-0.00398766,2.23431,-0.0374654,0.228924
0.0204082,0.979592,-0.00453329,-13.253,0.0976976,0.211331
0.0204082,1,0,-76.2311,1,0
0.0408163,0,0,-0.00958748,0,0
0.0408163,0.0204082,1.99656e-06,0.00745927,5.44509e-05,-1.0526e-05
0.0408163,0.0408163,2.22249e-06,0.0218519,-0.000101171,0.000100638
0.0408163,0.0612245,-2.13287e-06,0.0365027,-0.000355402,0.00041225
0.0408163,0.0816327,-1.22837e-05,0.0533515,-0.000649237,0.000965281
0.0408163,0.102041,-2.86323e-05,0.0736897,-0.000953225,0.00177734
0.0408163,0.122449,-5.11908e-05,0.0981569,-0.00125344,0.00285228
0.0408163,0.142857,-7.97932e-05,0.127067,-0.00154366,0.00418657
0.0408163,0.163265,-0.000114197,0.160595,-0.00182167,0.0057728
0.0408163,0.183673,-0.000154147,0.198649,-0.002087,0.00760162
0.0408163,0.204082,-0.000199381,0.241149,-0.00233962,0.0096629
0.0408163,0.22449,-0.000249642,0.287925,-0.00257974,0.0119463
0.0408163,0.244898,-0.000304676,0.338743,-0.00280714,0.0144408
0.0408163,0.265306,-0.000364219,0.393446,-0.00302133,0.0171351
0.0408163,0.285714,-0.000427996,0.45173,-0.00322156,0.0200173
0.0408163,0.306122,-0.000495711,0.513371,-0.00340655,0.0230739
0.0408163,0.326531,-0.000567039,0.578065,-0.00357487,0.0262911
0.0408163,0.346939,-0.000641624,0.645531,-0.00372495,0.029653
0.0408163,0.367347,-0.000719077,0.715425,-0.003855,0.0331427
0.0408163,0.387755,-0.000798971,0.787472,-0.00396365,0.0367419
0.0408163,0.408163,-0.000880859,0.861321,-0.00405009,0.040431
0.0408163,0.428571,-0.000964281,0.936649,-0.00411416,0.0441902
0.0408163,0.44898,-0.00104878,1.01307,-0.00415636,0.0479997
0.0408163,0.469388,-0.00113393,1.09019,-0.00417701,0.0518396
0.0408163,0.489796,-0.00121927,1.16775,-0.00417713,0.0556913
0.0408163,0.510204,-0.00130442,1.24548,-0.00415959,0.059537
0.0408163,0.530612,-0.00138905,1.32327,-0.00412986,0.0633631
0.0408163,0.55102,-0.00147299,1.40102,-0.00409611,0.0671611
0.0408163,0.571429,-0.00155624,1.47867,-0.0040683,0.0709299
0.0408163,0.591837,-0.00163904,1.55639,-0.00405872,0.0746778
0.0408163,0.612245,-0.0017219,1.63456,-0.0040834,0.0784241
0.0408163,0.632653,-0.00180571,1.7138,-0.00416335,0.082203
0.0408163,0.653061,-0.00189184,1.795,-0.0043258,0.0860674
0.0408163,0.673469,-0.00198227,1.87938,-0.00460582,0.0900941
0.0408163,0.693878,-0.00207983,1.96863,-0.0050495,0.0943893
0.0408163,0.714286,-0.00218838,2.06477,-0.0057178,0.0990972
0.0408163,0.734694,-0.00231321,2.1703,-0.00669187,0.104409
0.0408163,0.755102,-0.00246151,2.28797,-0.00808125,0.110577
0.0408163,0.77551,-0.00264306,2.42048,-0.0100351,0.117924
0.0408163,0.795918,-0.00287111,2.56963,-0.0127576,0.126861
0.0408163,0.816327,-0.00316377,2.7344,-0.0165281,0.137896
0.0408163,0.836735,-0.00354573,2.9069,-0.0217225,0.151622
0.0408163,0.857143,-0.00405041,3.06308,-0.0288153,0.168652
0.0408163,0.877551,-0.00472186,3.14162,-0.038285,0.189413
0.0408163,0.897959,-0.00561306,2.99327,-0.0501397,0.21358
0.0408163,0.918367,-0.00676838,2.25369,-0.062091,0.238647
0.0408163,0.938776,-0.00814738,0.00733459,-0.0630983,0.256569
0.0408163,0.959184,-0.00934382,-6.12051,-0.0117197,0.246904
0.0408163,0.979592,-0.00862574,-22.0757,0.228924,0.169005
0.0408163,1,0,-56.5792,1,0
0.0612245,0,0,-0.00741346,0,0
0.0612245,0.0204082,1.54383e-06,0.0164293,-5.12771e-05,6.29088e-05
0.0612245,0.0408163,-2.09294e-06,0.0359657,-0.000411404,0.000345217
0.0612245,0.0612245,-1.52482e-05,0.0539595,-0.000928627,0.000909297
0.0612245,0.0816327,-3.99961e-05,0.0723763,-0.00151648,0.00179258
0.0612245,0.102041,-7.71452e-05,0.0924496,-0.00212718,0.00301368
0.0612245,0.122449,-0.00012682,0.115057,-0.00273539,0.00457847
0.0612245,0.142857,-0.000188794,0.140665,-0.00332859,0.00648459
0.0612245,0.163265,-0.000262681,0.169473,-0.00390076,0.00872467
0.0612245,0.183673,-0.000348008,0.201636,-0.00444937,0.0112884
0.0612245,0.204082,-0.000444288,0.237113,-0.00497367,0.014164
0.0612245,0.22449,-0.000551015,0.275803,-0.00547301,0.0173384
0.0612245,0.244898,-0.000667676,0.317614,-0.00594656,0.0207977
0.0612245,0.265306,-0.000793732,0.362322,-0.006393,0.0245271
0.0612245,0.285714,-0.000928614,0.409797,-0.0068104,0.0285107
0.0612245,0.306122,-0.00107171,0.459806,-0.00719637,0.032731
