x,y,s,v
0,0,0,0
0,0.0204082,0,-0.00631159
0,0.0408163,0,-0.0119604
0,0.0612245,0,-0.0105353
0,0.0816327,0,0.000452685
0,0.102041,0,0.0216964
0,0.122449,0,0.0531419
0,0.142857,0,0.0944486
0,0.163265,0,0.145177
0,0.183673,0,0.204858
0,0.204082,0,0.27301
0,0.22449,0,0.349141
0,0.244898,0,0.432734
0,0.265306,0,0.523238
0,0.285714,0,0.620058
0,0.306122,0,0.722546
0,0.326531,0,0.829996
0,0.346939,0,0.941645
0,0.367347,0,1.05667
0,0.387755,0,1.17421
0,0.408163,0,1.29336
0,0.428571,0,1.4132
0,0.44898,0,1.53281
0,0.469388,0,1.65133
0,0.489796,0,1.76793
0.0204082,0,0,-0.00631159
0.0204082,0.0204082,1.31437e-06,0.000718065
0.0204082,0.0408163,2.4907e-06,0.00780886
0.0204082,0.0612245,2.19395e-06,0.0181362
0.0204082,0.0816327,-9.427e-08,0.0339911
0.0204082,0.102041,-4.51821e-06,0.0566119
0.0204082,0.122449,-1.10666e-05,0.0865281
0.0204082,0.142857,-1.96686e-05,0.123857
0.0204082,0.163265,-3.02326e-05,0.168489
0.0204082,0.183673,-4.26609e-05,0.220186
0.0204082,0.204082,-5.68535e-05,0.278638
0.0204082,0.22449,-7.27075e-05,0.343481
0.0204082,0.244898,-9.01154e-05,0.414315
0.0204082,0.265306,-0.000108963,0.490698
0.0204082,0.285714,-0.000129125,0.572152
0.0204082,0.306122,-0.000150468,0.658159
0.0204082,0.326531,-0.000172844,0.748159
0.0204082,0.346939,-0.000196094,0.841554
0.0204082,0.367347,-0.000220048,0.937711
0.0204082,0.387755,-0.000244525,1.03597
0.0204082,0.408163,-0.000269338,1.13564
0.0204082,0.428571,-0.000294294,1.23603
0.0204082,0.44898,-0.000319203,1.33647
0.0204082,0.469388,-0.000343883,1.43631
0.0204082,0.489796,-0.000368166,1.53494
0.0408163,0,0,-0.0118499
0.0408163,0.0204082,2.4677e-06,0.00768659
0.0408163,0.0408163,3.20216e-06,0.0243409
0.0408163,0.0612245,-1.17423e-06,0.0412776
0.0408163,0.0816327,-1.22099e-05,0.0607653
0.0408163,0.102041,-3.04904e-05,0.0842548
0.0408163,0.122449,-5.6118e-05,0.112573
0.0408163,0.142857,-8.89608e-05,0.146121
0.0408163,0.163265,-0.000128775,0.185023
0.0408163,0.183673,-0.000175264,0.229227
0.0408163,0.204082,-0.000228096,0.278572
0.0408163,0.22449,-0.000286919,0.332818
0.0408163,0.244898,-0.000351351,0.391677
0.0408163,0.265306,-0.000420982,0.454816
0.0408163,0.285714,-0.000495367,0.521871
0.0408163,0.306122,-0.000574021,0.592447
0.0408163,0.326531,-0.000656416,0.666123
0.0408163,0.346939,-0.000741986,0.742453
0.0408163,0.367347,-0.000830124,0.820971
0.0408163,0.387755,-0.000920188,0.901196
0.0408163,0.408163,-0.00101152,0.982635
0.0408163,0.428571,-0.00110343,1.0648
0.0408163,0.44898,-0.00119527,1.1472
0.0408163,0.469388,-0.00128638,1.22939
0.0408163,0.489796,-0.00137617,1.31093
0.0612245,0,0,-0.010338
0.0612245,0.0204082,2.15284e-06,0.0175378
0.0612245,0.0408163,-1.11335e-06,0.0405908
0.0612245,0.0612245,-1.5075e-05,0.0618668
0.0612245,0.0816327,-4.23889e-05,0.083547
0.0612245,0.102041,-8.4207e-05,0.107117
0.0612245,0.122449,-0.00014084,0.133521
0.0612245,0.142857,-0.00021214,0.163308
0.0612245,0.163265,-0.000297705,0.196748
0.0612245,0.183673,-0.000396994,0.233923
0.0612245,0.204082,-0.000509372,0.274786
0.0612245,0.22449,-0.000634137,0.319206
0.0612245,0.244898,-0.000770518,0.366992
0.0612245,0.265306,-0.000917676,0.417912
0.0612245,0.285714,-0.0010747,0.471706
0.0612245,0.306122,-0.00124058,0.52809
0.0612245,0.326531,-0.00141425,0.586766
0.0612245,0.346939,-0.00159454,0.647421
0.0612245,0.367347,-0.0017802,0.709733
0.0612245,0.387755,-0.00196993,0.773375
0.0612245,0.408163,-0.00216237,0.838017
0.0612245,0.428571,-0.00235613,0.903335
0.0612245,0.44898,-0.00254986,0.96901
0.0612245,0.469388,-0.00274222,1.03474
0.0612245,0.489796,-0.00293199,1.10025
0.0816327,0,0,0.000227442
0.0816327,0.0204082,-4.7364e-08,0.0322144
0.0816327,0.0408163,-1.16392e-05,0.0586196
0.0816327,0.0612245,-4.13905e-05,0.0820528
0.0816327,0.0816327,-9.28606e-05,0.104455
0.0816327,0.102041,-0.000167722,0.12721
0.0816327,0.122449,-0.000266507,0.151258
0.0816327,0.142857,-0.000389069,0.177194
0.0816327,0.163265,-0.000534856,0.205362
0.0816327,0.183673,-0.000703061,0.235925
0.0816327,0.204082,-0.000892708,0.268919
0.0816327,0.22449,-0.00110269,0.304295
0.0816327,0.244898,-0.00133176,0.341944
0.0816327,0.265306,-0.00157857,0.381721
0.0816327,0.285714,-0.00184162,0.423453
0.0816327,0.306122,-0.0021193,0.466953
0.0816327,0.326531,-0.00240985,0.512026
0.0816327,0.346939,-0.00271136,0.55847
0.0816327,0.367347,-0.00302181,0.606084
0.0816327,0.387755,-0.00333907,0.654667
0.0816327,0.408163,-0.00366092,0.704023
0.0816327,0.428571,-0.00398511,0.753962
0.0816327,0.44898,-0.0043094,0.804301
0.0816327,0.469388,-0.00463161,0.85487
0.0816327,0.489796,-0.00494972,0.905509
0.102041,0,0,0.019785
0.102041,0.0204082,-4.12016e-06,0.0524719
0.102041,0.0408163,-2.84203e-05,0.0796139
0.102041,0.0612245,-8.01617e-05,0.103261
0.102041,0.0816327,-0.000163446,0.125015
0.102041,0.102041,-0.000280295,0.146072
0.102041,0.122449,-0.000431394,0.167283
0.102041,0.142857,-0.000616575,0.189222
0.102041,0.163265,-0.000835119,0.212249
0.102041,0.183673,-0.00108595,0.236567
